===============================================================================
Id,orcl-1995-2014,len,datetime,open,high,low,close,volume,openinterest,adjclose,Strategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
46,orcl-1995-2014,46,1999-03-10 23:59:59.999989,8.81,8.81,8.21,8.44,113851318.0,0.0,8.436256,Strategy,46,729823.9999999999,Broker,46,910.7,995.1,BuySell,46,,,Trades - Net Profit/Loss,46,,
47,orcl-1995-2014,47,1999-03-11 23:59:59.999989,8.56,8.56,7.76,8.2,108682952.0,0.0,8.199986,Strategy,47,729824.9999999999,Broker,47,910.7,992.7,BuySell,47,,,Trades - Net Profit/Loss,47,,
48,orcl-1995-2014,48,1999-03-12 23:59:59.999989,6.7,6.78,6.23,6.35,453915734.0,0.0,6.351516,Strategy,48,729825.9999999999,Broker,48,977.7,977.7,BuySell,48,,6.8816999999999995,Trades - Net Profit/Loss,48,,-17.60000000000001
49,orcl-1995-2014,49,1999-03-15 23:59:59.999989,6.54,6.7,6.45,6.67,135511340.0,0.0,6.671176,Strategy,49,729828.9999999999,Broker,49,977.7,977.7,BuySell,49,,,Trades - Net Profit/Loss,49,,
50,orcl-1995-2014,50,1999-03-16 23:59:59.999989,6.75,6.78,6.55,6.63,90071814.0,0.0,6.629482,Strategy,50,729829.9999999999,Broker,50,977.7,977.7,BuySell,50,,,Trades - Net Profit/Loss,50,,
51,orcl-1995-2014,51,1999-03-17 23:59:59.999989,6.67,6.67,6.46,6.46,53068594.0,0.0,6.462703,Strategy,51,729830.9999999999,Broker,51,977.7,977.7,BuySell,51,,,Trades - Net Profit/Loss,51,,
52,orcl-1995-2014,52,1999-03-18 23:59:59.999989,6.49,6.64,6.45,6.6,58843145.0,0.0,6.601685,Strategy,52,729831.9999999999,Broker,52,977.7,977.7,BuySell,52,,,Trades - Net Profit/Loss,52,,
53,orcl-1995-2014,53,1999-03-19 23:59:59.999989,6.67,6.67,6.1,6.13,126484574.0,0.0,6.129144,Strategy,53,729832.9999999999,Broker,53,977.7,977.7,BuySell,53,,,Trades - Net Profit/Loss,53,,
54,orcl-1995-2014,54,1999-03-22 23:59:59.999989,6.25,6.35,6.03,6.05,54027358.0,0.0,6.045753,Strategy,54,729835.9999999999,Broker,54,977.7,977.7,BuySell,54,,,Trades - Net Profit/Loss,54,,
55,orcl-1995-2014,55,1999-03-23 23:59:59.999989,6.05,6.06,5.78,5.8,66590037.0,0.0,5.795586,Strategy,55,729836.9999999999,Broker,55,977.7,977.7,BuySell,55,,,Trades - Net Profit/Loss,55,,
56,orcl-1995-2014,56,1999-03-24 23:59:59.999989,5.84,5.85,5.74,5.77,64435111.0,0.0,5.767788,Strategy,56,729837.9999999999,Broker,56,977.7,977.7,BuySell,56,,,Trades - Net Profit/Loss,56,,
57,orcl-1995-2014,57,1999-03-25 23:59:59.999989,5.95,6.03,5.81,5.93,69121396.0,0.0,5.934567,Strategy,57,729838.9999999999,Broker,57,977.7,977.7,BuySell,57,,,Trades - Net Profit/Loss,57,,
58,orcl-1995-2014,58,1999-03-26 23:59:59.999989,5.99,6.25,5.84,6.12,54300318.0,0.0,6.115245,Strategy,58,729839.9999999999,Broker,58,977.7,977.7,BuySell,58,,,Trades - Net Profit/Loss,58,,
59,orcl-1995-2014,59,1999-03-29 23:59:59.999989,6.28,6.35,6.12,6.34,52108947.0,0.0,6.337618,Strategy,59,729842.9999999999,Broker,59,977.7,977.7,BuySell,59,,,Trades - Net Profit/Loss,59,,
60,orcl-1995-2014,60,1999-03-30 23:59:59.999989,6.32,6.39,5.98,5.98,43807567.0,0.0,5.976262,Strategy,60,729843.9999999999,Broker,60,977.7,977.7,BuySell,60,,,Trades - Net Profit/Loss,60,,
61,orcl-1995-2014,61,1999-03-31 23:59:59.999989,6.17,6.24,5.84,5.87,69719936.0,0.0,5.865076,Strategy,61,729844.9999999999,Broker,61,977.7,977.7,BuySell,61,,,Trades - Net Profit/Loss,61,,
62,orcl-1995-2014,62,1999-04-01 23:59:59.999989,5.98,6.0,5.7,5.74,82841152.0,0.0,5.739992,Strategy,62,729845.9999999999,Broker,62,977.7,977.7,BuySell,62,,,Trades - Net Profit/Loss,62,,
63,orcl-1995-2014,63,1999-04-05 23:59:59.999989,5.92,5.93,5.56,5.63,92625194.0,0.0,5.628805,Strategy,63,729849.9999999999,Broker,63,977.7,977.7,BuySell,63,,,Trades - Net Profit/Loss,63,,
64,orcl-1995-2014,64,1999-04-06 23:59:59.999989,5.64,5.67,5.23,5.27,112320064.0,0.0,5.26745,Strategy,64,729850.9999999999,Broker,64,977.7,977.7,BuySell,64,,,Trades - Net Profit/Loss,64,,
65,orcl-1995-2014,65,1999-04-07 23:59:59.999989,5.35,5.39,4.67,4.77,219036952.0,0.0,4.767111,Strategy,65,729851.9999999999,Broker,65,977.7,977.7,BuySell,65,,,Trades - Net Profit/Loss,65,,
66,orcl-1995-2014,66,1999-04-08 23:59:59.999989,4.84,5.23,4.77,5.18,154656711.0,0.0,5.184059,Strategy,66,729852.9999999999,Broker,66,977.7,977.7,BuySell,66,,,Trades - Net Profit/Loss,66,,
67,orcl-1995-2014,67,1999-04-09 23:59:59.999989,5.48,5.78,5.25,5.75,171053029.0,0.0,5.75389,Strategy,67,729853.9999999999,Broker,67,977.7,977.7,BuySell,67,,,Trades - Net Profit/Loss,67,,
68,orcl-1995-2014,68,1999-04-12 23:59:59.999989,5.64,5.89,5.56,5.56,101825963.0,0.0,5.559314,Strategy,68,729856.9999999999,Broker,68,977.7,977.7,BuySell,68,,,Trades - Net Profit/Loss,68,,
69,orcl-1995-2014,69,1999-04-13 23:59:59.999989,5.68,5.7,5.21,5.25,96828489.0,0.0,5.253552,Strategy,69,729857.9999999999,Broker,69,977.7,977.7,BuySell,69,,,Trades - Net Profit/Loss,69,,
70,orcl-1995-2014,70,1999-04-14 23:59:59.999989,5.43,5.66,5.32,5.36,70003704.0,0.0,5.364737,Strategy,70,729858.9999999999,Broker,70,977.7,977.7,BuySell,70,,,Trades - Net Profit/Loss,70,,
71,orcl-1995-2014,71,1999-04-15 23:59:59.999989,5.53,5.7,5.45,5.53,70670595.0,0.0,5.531517,Strategy,71,729859.9999999999,Broker,71,977.7,977.7,BuySell,71,,,Trades - Net Profit/Loss,71,,
72,orcl-1995-2014,72,1999-04-16 23:59:59.999989,5.6,5.6,5.43,5.45,56569497.0,0.0,5.448126,Strategy,72,729860.9999999999,Broker,72,977.7,977.7,BuySell,72,,,Trades - Net Profit/Loss,72,,
73,orcl-1995-2014,73,1999-04-19 23:59:59.999989,5.55,5.56,5.2,5.2,78935992.0,0.0,5.197959,Strategy,73,729863.9999999999,Broker,73,977.7,977.7,BuySell,73,,,Trades - Net Profit/Loss,73,,
74,orcl-1995-2014,74,1999-04-20 23:59:59.999989,5.17,5.36,5.09,5.17,100312737.0,0.0,5.170162,Strategy,74,729864.9999999999,Broker,74,977.7,977.7,BuySell,74,,,Trades - Net Profit/Loss,74,,
75,orcl-1995-2014,75,1999-04-21 23:59:59.999989,5.27,5.39,5.17,5.36,67649996.0,0.0,5.364737,Strategy,75,729865.9999999999,Broker,75,977.7,977.7,BuySell,75,,,Trades - Net Profit/Loss,75,,
76,orcl-1995-2014,76,1999-04-22 23:59:59.999989,5.53,5.8,5.39,5.74,72512090.0,0.0,5.739992,Strategy,76,729866.9999999999,Broker,76,977.7,977.7,BuySell,76,,,Trades - Net Profit/Loss,76,,
77,orcl-1995-2014,77,1999-04-23 23:59:59.999989,5.75,6.16,5.73,6.08,80101604.0,0.0,6.080489,Strategy,77,729867.9999999999,Broker,77,920.2,981.0,BuySell,77,5.64405,,Trades - Net Profit/Loss,77,,
78,orcl-1995-2014,78,1999-04-26 23:59:59.999989,6.2,6.5,6.17,6.38,79250358.0,0.0,6.379311,Strategy,78,729870.9999999999,Broker,78,920.2,984.0,BuySell,78,,,Trades - Net Profit/Loss,78,,
79,orcl-1995-2014,79,1999-04-27 23:59:59.999989,6.48,6.48,6.09,6.24,59576614.0,0.0,6.240328,Strategy,79,729871.9999999999,Broker,79,920.2,982.6,BuySell,79,,,Trades - Net Profit/Loss,79,,
80,orcl-1995-2014,80,1999-04-28 23:59:59.999989,6.23,6.28,5.92,6.07,45226358.0,0.0,6.07355,Strategy,80,729872.9999999999,Broker,80,920.2,980.9000000000001,BuySell,80,,,Trades - Net Profit/Loss,80,,
81,orcl-1995-2014,81,1999-04-29 23:59:59.999989,6.09,6.16,5.95,6.06,42798448.0,0.0,6.059652,Strategy,81,729873.9999999999,Broker,81,920.2,980.8000000000001,BuySell,81,,,Trades - Net Profit/Loss,81,,
82,orcl-1995-2014,82,1999-04-30 23:59:59.999989,6.17,6.3,5.87,6.02,44177209.0,0.0,6.017958,Strategy,82,729874.9999999999,Broker,82,920.2,980.4000000000001,BuySell,82,,,Trades - Net Profit/Loss,82,,
83,orcl-1995-2014,83,1999-05-03 23:59:59.999989,5.96,5.96,5.67,5.8,87128538.0,0.0,5.795586,Strategy,83,729877.9999999999,Broker,83,920.2,978.2,BuySell,83,,,Trades - Net Profit/Loss,83,,
84,orcl-1995-2014,84,1999-05-04 23:59:59.999989,5.7,5.71,5.53,5.6,87565673.0,0.0,5.601008,Strategy,84,729878.9999999999,Broker,84,920.2,976.2,BuySell,84,,,Trades - Net Profit/Loss,84,,
85,orcl-1995-2014,85,1999-05-05 23:59:59.999989,5.59,5.59,5.36,5.56,95011273.0,0.0,5.559314,Strategy,85,729879.9999999999,Broker,85,976.1,976.1,BuySell,85,,5.673849999999999,Trades - Net Profit/Loss,85,,-1.6000000000000014
86,orcl-1995-2014,86,1999-05-06 23:59:59.999989,5.55,5.64,5.35,5.38,63150319.0,0.0,5.378637,Strategy,86,729880.9999999999,Broker,86,976.1,976.1,BuySell,86,,,Trades - Net Profit/Loss,86,,
87,orcl-1995-2014,87,1999-05-07 23:59:59.999989,5.42,5.57,5.26,5.45,65298095.0,0.0,5.448126,Strategy,87,729881.9999999999,Broker,87,976.1,976.1,BuySell,87,,,Trades - Net Profit/Loss,87,,
88,orcl-1995-2014,88,1999-05-10 23:59:59.999989,5.48,5.49,5.31,5.42,70307264.0,0.0,5.420329,Strategy,88,729884.9999999999,Broker,88,976.1,976.1,BuySell,88,,,Trades - Net Profit/Loss,88,,
89,orcl-1995-2014,89,1999-05-11 23:59:59.999989,5.5,5.77,5.39,5.52,93696348.0,0.0,5.51762,Strategy,89,729885.9999999999,Broker,89,976.1,976.1,BuySell,89,,,Trades - Net Profit/Loss,89,,
90,orcl-1995-2014,90,1999-05-12 23:59:59.999989,5.59,5.84,5.36,5.63,112494554.0,0.0,5.628805,Strategy,90,729886.9999999999,Broker,90,976.1,976.1,BuySell,90,,,Trades - Net Profit/Loss,90,,
91,orcl-1995-2014,91,1999-05-13 23:59:59.999989,5.31,5.67,5.1,5.11,257820074.0,0.0,5.114568,Strategy,91,729887.9999999999,Broker,91,976.1,976.1,BuySell,91,,,Trades - Net Profit/Loss,91,,
92,orcl-1995-2014,92,1999-05-14 23:59:59.999989,5.25,5.48,5.2,5.31,179015372.0,0.0,5.309144,Strategy,92,729888.9999999999,Broker,92,976.1,976.1,BuySell,92,,,Trades - Net Profit/Loss,92,,
93,orcl-1995-2014,93,1999-05-17 23:59:59.999989,5.41,5.56,5.3,5.45,62248257.0,0.0,5.448126,Strategy,93,729891.9999999999,Broker,93,976.1,976.1,BuySell,93,,,Trades - Net Profit/Loss,93,,
94,orcl-1995-2014,94,1999-05-18 23:59:59.999989,5.53,5.56,5.45,5.52,47256723.0,0.0,5.51762,Strategy,94,729892.9999999999,Broker,94,976.1,976.1,BuySell,94,,,Trades - Net Profit/Loss,94,,
95,orcl-1995-2014,95,1999-05-19 23:59:59.999989,5.59,5.89,5.56,5.87,77208271.0,0.0,5.865076,Strategy,95,729893.9999999999,Broker,95,976.1,976.1,BuySell,95,,,Trades - Net Profit/Loss,95,,
96,orcl-1995-2014,96,1999-05-20 23:59:59.999989,5.93,6.0,5.63,5.63,92966963.0,0.0,5.628805,Strategy,96,729894.9999999999,Broker,96,916.8000000000001,973.1,BuySell,96,5.5455499999999995,,Trades - Net Profit/Loss,96,,
97,orcl-1995-2014,97,1999-05-21 23:59:59.999989,5.61,5.96,5.59,5.73,53558761.0,0.0,5.726094,Strategy,97,729895.9999999999,Broker,97,916.8000000000001,974.1,BuySell,97,,,Trades - Net Profit/Loss,97,,
98,orcl-1995-2014,98,1999-05-24 23:59:59.999989,5.82,5.88,5.46,5.5,57516537.0,0.0,5.503721,Strategy,98,729898.9999999999,Broker,98,916.8000000000001,971.8000000000001,BuySell,98,,,Trades - Net Profit/Loss,98,,
99,orcl-1995-2014,99,1999-05-25 23:59:59.999989,5.6,5.64,5.34,5.34,55447054.0,0.0,5.33694,Strategy,99,729899.9999999999,Broker,99,972.8000000000001,972.8000000000001,BuySell,99,,5.724599999999999,Trades - Net Profit/Loss,99,,-3.3000000000000007
100,orcl-1995-2014,100,1999-05-26 23:59:59.999989,5.25,5.34,5.02,5.21,103095002.0,0.0,5.211857,Strategy,100,729900.9999999999,Broker,100,972.8000000000001,972.8000000000001,BuySell,100,,,Trades - Net Profit/Loss,100,,
101,orcl-1995-2014,101,1999-05-27 23:59:59.999989,5.23,5.38,5.1,5.24,58390752.0,0.0,5.239653,Strategy,101,729901.9999999999,Broker,101,972.8000000000001,972.8000000000001,BuySell,101,,,Trades - Net Profit/Loss,101,,
102,orcl-1995-2014,102,1999-05-28 23:59:59.999989,5.3,5.53,5.27,5.52,41917036.0,0.0,5.51762,Strategy,102,729902.9999999999,Broker,102,972.8000000000001,972.8000000000001,BuySell,102,,,Trades - Net Profit/Loss,102,,
103,orcl-1995-2014,103,1999-06-01 23:59:59.999989,5.55,5.78,5.53,5.67,66556776.0,0.0,5.6705,Strategy,103,729906.9999999999,Broker,103,917.3000000000001,974.0000000000001,BuySell,103,5.44705,,Trades - Net Profit/Loss,103,,
104,orcl-1995-2014,104,1999-06-02 23:59:59.999989,5.64,5.84,5.6,5.82,59488909.0,0.0,5.823381,Strategy,104,729907.9999999999,Broker,104,917.3000000000001,975.5000000000001,BuySell,104,,,Trades - Net Profit/Loss,104,,
105,orcl-1995-2014,105,1999-06-03 23:59:59.999989,5.91,6.13,5.89,6.12,109822460.0,0.0,6.115245,Strategy,105,729908.9999999999,Broker,105,917.3000000000001,978.5000000000001,BuySell,105,,,Trades - Net Profit/Loss,105,,
106,orcl-1995-2014,106,1999-06-04 23:59:59.999989,6.17,6.41,6.12,6.38,107506101.0,0.0,6.379311,Strategy,106,729909.9999999999,Broker,106,917.3000000000001,981.1,BuySell,106,,,Trades - Net Profit/Loss,106,,
107,orcl-1995-2014,107,1999-06-07 23:59:59.999989,6.42,6.45,6.25,6.34,61373129.0,0.0,6.337618,Strategy,107,729912.9999999999,Broker,107,917.3000000000001,980.7,BuySell,107,,,Trades - Net Profit/Loss,107,,
108,orcl-1995-2014,108,1999-06-08 23:59:59.999989,6.27,6.28,5.95,6.03,52886927.0,0.0,6.031855,Strategy,108,729913.9999999999,Broker,108,917.3000000000001,977.6,BuySell,108,,,Trades - Net Profit/Loss,108,,
109,orcl-1995-2014,109,1999-06-09 23:59:59.999989,6.06,6.07,5.84,5.93,48740282.0,0.0,5.934567,Strategy,109,729914.9999999999,Broker,109,917.3000000000001,976.6,BuySell,109,,,Trades - Net Profit/Loss,109,,
110,orcl-1995-2014,110,1999-06-10 23:59:59.999989,5.87,5.88,5.67,5.8,56632426.0,0.0,5.795586,Strategy,110,729915.9999999999,Broker,110,917.3000000000001,975.3000000000001,BuySell,110,,,Trades - Net Profit/Loss,110,,
111,orcl-1995-2014,111,1999-06-11 23:59:59.999989,5.78,5.84,5.56,5.63,62209569.0,0.0,5.628805,Strategy,111,729916.9999999999,Broker,111,917.3000000000001,973.6,BuySell,111,,,Trades - Net Profit/Loss,111,,
112,orcl-1995-2014,112,1999-06-14 23:59:59.999989,5.7,5.92,5.67,5.88,77536539.0,0.0,5.878975,Strategy,112,729919.9999999999,Broker,112,974.3000000000001,974.3000000000001,BuySell,112,,6.008799999999999,Trades - Net Profit/Loss,112,1.5000000000000036,
113,orcl-1995-2014,113,1999-06-15 23:59:59.999989,5.95,6.13,5.55,5.59,128220396.0,0.0,5.587111,Strategy,113,729920.9999999999,Broker,113,914.8000000000001,970.7,BuySell,113,5.466749999999999,,Trades - Net Profit/Loss,113,,
